iter	Accuracy	Logloss
0	0.7607270217	0.684275218
1	0.7753364776	0.6756987986
2	0.7737259864	0.6670597832
3	0.7755665478	0.6592881632
4	0.7797078109	0.6513048978
5	0.7817784424	0.6434435306
6	0.7818934775	0.6359895438
7	0.781203267	0.6290709145
8	0.7815483723	0.6227367164
9	0.7824686529	0.6167166932
10	0.7829287933	0.6110620482
11	0.7829287933	0.6049340188
12	0.7815483723	0.5994744983
13	0.7810882319	0.5942023913
14	0.782583688	0.5889190003
15	0.7851144599	0.583633733
16	0.7855746003	0.5789931078
17	0.7873001265	0.573773056
18	0.7870700564	0.5693438714
19	0.7885655125	0.565267523
20	0.7891406879	0.5613582836
21	0.7889106177	0.5567591888
22	0.7893707581	0.5529066567
23	0.7896008283	0.549303807
24	0.7884504774	0.5460034243
25	0.7879903371	0.5430091527
26	0.7890256528	0.53957702
27	0.7893707581	0.5364194696
28	0.7907511791	0.534190907
29	0.7909812493	0.5316576576
30	0.7921316001	0.5289575367
31	0.7914413896	0.5256068468
32	0.790636144	0.5227655481
33	0.7912113195	0.5204927098
34	0.7905211089	0.5180548211
35	0.7913263545	0.5151891521
36	0.7912113195	0.5128692441
37	0.7914413896	0.511016936
38	0.7910962844	0.5088394652
39	0.7921316001	0.5068604442
40	0.7921316001	0.5049635173
41	0.7920165651	0.5030486138
42	0.7924767054	0.5010795805
43	0.7930518808	0.4992217663
44	0.7929368457	0.496926097
45	0.7935120212	0.4947933292
46	0.7935120212	0.4932475576
47	0.7938571264	0.4913893458
48	0.7931669159	0.4900344495
49	0.7929368457	0.4884834623
50	0.7925917405	0.4868790225
51	0.793281951	0.4852996082
52	0.7930518808	0.4837455922
53	0.7940871966	0.4822383502
54	0.7940871966	0.4808598754
55	0.7943172668	0.4793385754
56	0.7945473369	0.4780660134
57	0.7945473369	0.4771089445
58	0.7950074773	0.4758095517
59	0.7954676176	0.4745852092
60	0.7953525825	0.47330168
61	0.7960427931	0.4720358019
62	0.7966179685	0.470936959
63	0.7968480387	0.469847294
64	0.7966179685	0.4688845744
65	0.7967330036	0.4675506057
66	0.7963878983	0.4664923659
67	0.7969630737	0.4652270527
68	0.7967330036	0.4642163022
69	0.7966179685	0.463341208
70	0.7966179685	0.4622135731
71	0.7971931439	0.4612425353
72	0.7975382492	0.4603088947
73	0.7977683193	0.4594229823
74	0.7978833544	0.4585196147
75	0.7979983895	0.4577501232
76	0.7979983895	0.4568460799
77	0.7984585299	0.4560150203
78	0.7984585299	0.4550043202
79	0.7991487404	0.4541602304
80	0.7993788105	0.4534486398
81	0.7993788105	0.4526318198
82	0.7994938456	0.4515032523
83	0.7996088807	0.4506338473
84	0.7994938456	0.4499948195
85	0.7991487404	0.4493807423
86	0.7997239158	0.4485413879
87	0.7994938456	0.4478145867
88	0.8000690211	0.4472433755
89	0.799953986	0.4465498814
90	0.7998389509	0.4461314388
91	0.8000690211	0.4456085832
92	0.7997239158	0.4449179052
93	0.7998389509	0.4444506356
94	0.8001840561	0.4437646205
95	0.8006441965	0.4428760605
96	0.8007592316	0.4421895361
97	0.8014494421	0.4416095194
98	0.8017945473	0.4410043697
99	0.8020246175	0.4404925058
100	0.8017945473	0.4400140178
101	0.8016795123	0.4394265967
102	0.8019095824	0.4388698226
103	0.8021396526	0.4382398386
104	0.801334407	0.4376871281
105	0.8015644772	0.4372332543
106	0.8017945473	0.4367615376
107	0.8015644772	0.436312382
108	0.8019095824	0.4357008069
109	0.8015644772	0.4351646601
110	0.8021396526	0.4345855552
111	0.8021396526	0.4342946053
112	0.8023697228	0.4339107489
113	0.8021396526	0.4334126231
114	0.8022546877	0.4329470707
115	0.8023697228	0.4324516806
116	0.8024847579	0.432022263
117	0.8024847579	0.431561194
118	0.8028298631	0.4310526927
119	0.8029448982	0.4305457426
120	0.8029448982	0.4300761163
121	0.8028298631	0.4295831564
122	0.802714828	0.4292292482
123	0.8028298631	0.428775468
124	0.8030599333	0.428361934
125	0.8028298631	0.428048976
126	0.8028298631	0.4276286189
127	0.8025997929	0.4273558518
128	0.8024847579	0.4270045406
129	0.8029448982	0.4266263489
130	0.8032900035	0.4262701807
131	0.8034050385	0.4257395962
132	0.8032900035	0.4252890819
133	0.8034050385	0.4249612999
134	0.8034050385	0.4244563346
135	0.8036351087	0.4241580821
