iter	Passed	Remaining
0	2	3106
1	4	2948
2	6	3085
3	8	3042
4	11	3191
5	14	3299
6	16	3322
7	19	3316
8	21	3315
9	23	3303
10	26	3309
11	28	3310
12	31	3335
13	33	3334
14	36	3348
15	39	3385
16	41	3388
17	44	3398
18	46	3407
19	49	3431
20	52	3440
21	55	3457
22	57	3462
23	60	3459
24	62	3451
25	65	3462
26	68	3463
27	70	3464
28	73	3469
29	75	3466
30	78	3477
31	81	3477
32	83	3473
33	86	3472
34	89	3492
35	92	3496
36	95	3518
37	97	3510
38	100	3513
39	103	3509
40	105	3503
41	108	3499
42	110	3492
43	113	3495
44	115	3491
45	118	3490
46	121	3488
47	124	3494
48	126	3491
49	129	3489
50	131	3481
51	135	3514
52	138	3518
53	140	3513
54	143	3505
55	145	3500
56	148	3509
57	151	3507
58	154	3503
59	156	3502
60	159	3501
61	162	3496
62	164	3492
63	166	3485
64	169	3484
65	172	3483
66	174	3476
67	177	3472
68	179	3466
69	182	3460
70	185	3465
71	187	3461
72	190	3458
73	192	3449
74	195	3448
75	197	3442
76	199	3436
77	202	3434
78	205	3434
79	207	3430
80	210	3427
81	213	3429
82	215	3424
83	218	3421
84	221	3425
85	224	3425
86	226	3420
87	230	3436
88	233	3437
89	235	3431
90	238	3426
91	240	3424
92	243	3422
93	246	3419
94	248	3415
95	251	3413
96	253	3409
97	256	3408
98	259	3404
99	261	3401
100	264	3397
101	266	3393
102	269	3394
103	272	3390
104	274	3389
105	278	3394
106	280	3388
107	283	3385
108	285	3383
109	288	3379
110	290	3376
111	293	3372
112	295	3369
113	298	3366
114	301	3369
115	304	3367
116	307	3368
117	309	3366
118	312	3365
119	315	3362
120	317	3359
121	320	3356
122	322	3349
123	325	3346
124	327	3342
125	330	3337
126	332	3334
127	335	3331
128	337	3329
129	340	3327
130	343	3323
131	346	3325
132	349	3326
133	352	3327
134	355	3329
135	357	3325
136	360	3321
137	362	3317
138	365	3315
139	369	3325
140	372	3326
141	375	3325
142	378	3325
143	380	3320
144	384	3323
145	386	3323
146	389	3316
147	391	3313
148	394	3308
149	396	3303
150	399	3302
151	401	3298
152	404	3296
153	406	3292
154	409	3287
155	412	3286
156	414	3283
157	417	3278
158	419	3274
159	422	3272
160	424	3269
161	427	3264
162	429	3260
163	432	3257
164	434	3255
165	437	3251
166	440	3252
167	443	3249
168	445	3245
169	448	3246
170	451	3241
171	453	3240
172	456	3236
173	458	3231
174	461	3227
175	463	3224
176	466	3221
177	468	3217
178	471	3213
179	473	3212
180	476	3209
181	479	3209
182	482	3205
183	484	3202
184	487	3201
185	489	3197
186	492	3194
187	494	3190
188	497	3187
189	499	3183
190	502	3179
191	504	3175
192	507	3172
193	510	3171
194	512	3168
195	516	3174
196	519	3170
197	521	3166
198	524	3162
199	526	3159
200	528	3155
201	531	3153
202	534	3149
203	536	3145
204	538	3141
205	541	3140
206	544	3138
207	547	3136
208	550	3134
209	552	3130
210	555	3128
211	557	3126
212	560	3123
213	563	3122
214	565	3118
215	568	3115
216	570	3109
217	572	3105
218	576	3106
219	578	3101
220	581	3099
221	583	3096
222	586	3093
223	588	3091
224	591	3088
225	593	3085
226	596	3082
227	600	3086
228	602	3082
229	605	3081
230	608	3078
231	611	3076
232	614	3075
233	616	3072
234	618	3067
235	621	3065
236	623	3061
237	626	3059
238	629	3056
239	631	3053
240	634	3049
241	636	3045
242	639	3043
243	641	3040
244	644	3038
245	646	3034
246	649	3031
247	652	3029
248	654	3026
249	657	3022
250	659	3018
251	661	3015
252	664	3013
253	667	3011
254	670	3008
255	672	3005
256	675	3002
257	677	2999
258	680	2995
259	682	2992
260	684	2989
261	687	2986
262	690	2984
263	692	2980
264	695	2977
265	697	2974
266	700	2972
267	703	2970
268	705	2967
269	708	2965
270	711	2962
271	713	2960
272	716	2957
273	719	2955
274	721	2951
275	724	2948
276	726	2944
277	728	2941
278	731	2938
279	734	2936
280	736	2934
281	739	2931
282	742	2929
283	744	2927
284	748	2929
285	751	2925
286	754	2924
287	756	2920
288	759	2917
289	761	2914
290	764	2911
291	766	2908
292	769	2907
293	772	2904
294	774	2901
295	777	2898
296	779	2895
297	782	2894
298	785	2891
299	787	2888
300	790	2884
301	792	2880
302	794	2877
303	797	2875
304	800	2873
305	802	2869
306	805	2868
307	808	2866
308	811	2864
309	814	2862
310	816	2859
311	819	2856
312	821	2853
313	823	2849
314	826	2847
315	829	2844
316	831	2841
317	834	2838
318	836	2835
319	838	2831
320	841	2829
321	844	2826
322	847	2827
323	850	2825
324	853	2822
325	856	2820
326	858	2818
327	861	2816
328	864	2812
329	867	2811
330	870	2809
331	872	2807
332	875	2804
333	878	2804
334	881	2800
335	883	2798
336	886	2795
337	889	2793
338	891	2791
339	894	2788
340	896	2785
341	899	2782
342	902	2781
343	905	2778
344	907	2775
345	910	2772
346	912	2769
347	915	2766
348	917	2763
349	920	2761
350	922	2758
351	925	2755
352	928	2753
353	930	2750
354	934	2751
355	937	2749
356	940	2748
357	943	2745
358	945	2742
359	948	2739
360	950	2735
361	953	2733
362	955	2731
363	958	2727
364	960	2724
365	963	2721
366	965	2718
367	968	2715
368	971	2713
369	973	2709
370	976	2708
371	979	2706
372	981	2703
373	984	2700
374	986	2697
375	989	2694
376	991	2691
377	994	2687
378	997	2686
379	999	2683
380	1002	2680
381	1004	2677
382	1007	2674
383	1009	2671
384	1012	2668
385	1014	2665
386	1017	2662
387	1019	2659
388	1021	2656
389	1024	2652
390	1027	2650
391	1031	2651
392	1033	2648
393	1036	2645
394	1038	2642
395	1041	2639
396	1043	2636
397	1046	2634
398	1048	2631
399	1051	2629
400	1054	2626
401	1056	2623
402	1058	2619
403	1061	2616
404	1064	2614
405	1066	2611
406	1069	2608
407	1071	2605
408	1075	2604
409	1077	2602
410	1080	2600
411	1083	2597
412	1086	2595
413	1088	2593
414	1091	2590
415	1094	2588
416	1096	2585
417	1099	2582
418	1101	2579
419	1104	2576
420	1106	2573
421	1109	2570
422	1112	2568
423	1114	2565
424	1117	2563
425	1119	2560
426	1122	2557
427	1124	2553
428	1126	2550
429	1129	2548
430	1132	2545
431	1134	2542
432	1137	2539
433	1139	2537
434	1142	2533
435	1144	2530
436	1147	2528
437	1150	2526
438	1152	2523
439	1154	2519
440	1157	2517
441	1160	2515
442	1162	2512
443	1165	2509
444	1167	2506
445	1170	2503
446	1173	2501
447	1175	2498
448	1178	2495
449	1180	2492
450	1183	2489
451	1185	2487
452	1188	2484
453	1190	2481
454	1193	2478
455	1196	2476
456	1198	2472
457	1201	2470
458	1203	2467
459	1206	2464
460	1208	2462
461	1211	2459
462	1213	2456
463	1216	2453
464	1219	2451
465	1221	2448
466	1224	2446
467	1227	2443
468	1229	2441
469	1232	2438
470	1235	2436
471	1237	2433
472	1239	2429
473	1242	2427
474	1245	2424
475	1247	2421
476	1250	2419
477	1252	2416
478	1255	2413
479	1257	2410
480	1260	2407
481	1262	2404
482	1265	2401
483	1267	2398
484	1270	2396
485	1272	2393
486	1275	2390
487	1277	2387
488	1280	2385
